id,species,location,climbing_style,pred.regime,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2016_sl_31_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.0557911,-0.000194023,-0.008302139,-0.017892617,0.00918235,0.006352963,0.006090581,0.001408217,-0.005475611,0.001813734,-0.000478258,-0.00098969,-0.000153741,-0.00341552,-0.003211369,0.001683887,-0.005090847,0.000656131,-3.99E-05,-0.002457989
2016_sl_32_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.0300909,-0.038594445,0.010521931,0.009324262,0.006758071,-0.001781767,0.003816968,0.001964301,0.009383676,-0.002702627,0.007144756,-0.003953405,-0.008352088,-0.000599383,0.004609946,0.001258342,0.002219954,0.003546537,0.000177357,-0.000596879
ss_2016_06_lateral.JPG,Sicyopterus stimpsoni,hakalau,inching,Free,-0.020374042,0.014001864,-0.009108469,-0.003955179,-0.002826798,-0.008753829,0.012493557,0.006130294,0.002988867,0.004953945,0.016038731,0.001851132,0.008162873,-0.007476036,-0.007622577,0.002898626,-0.003977319,-0.00037623,-0.004137346,0.000164137
ss_2016_11_lateral.JPG,Sicyopterus stimpsoni,hakalau,inching,Free,-0.015370548,0.018941184,0.018396704,0.014511764,-0.013578515,-0.020562253,0.009451357,0.000646471,-0.000599089,0.013911607,-0.00366939,-0.009352172,0.002563122,0.005679931,0.009130098,0.001067185,-0.001960021,2.05E-05,-0.000632832,-0.000946581
ss_2016_16_lateral.JPG,Sicyopterus stimpsoni,hakalau,inching,Free,-0.015190094,0.032808143,-0.039718029,-0.002709548,-0.001460112,0.017547793,-0.009283038,0.020332547,0.013189301,-0.002128311,-0.012072204,-0.01067228,0.001812965,0.005003972,-0.001534214,0.003657726,-0.001858402,-0.002163361,0.000893174,-0.00055581
ss_2017_01_lateral.JPG,Sicyopterus stimpsoni,nanue2,inching,Free,0.033881003,0.028914525,0.018469777,0.008481229,-0.037936696,-0.013410418,-0.005604355,-0.009075807,-0.001917568,0.003971396,-0.009605549,-0.000392834,-0.002678541,-0.004473983,-0.004593745,-0.007877557,-0.003136514,0.000753758,0.002367803,0.001286171
ss_2017_02_lateral.JPG,Sicyopterus stimpsoni,nanue2,inching,Free,0.006557231,0.010017184,0.008623221,0.001687939,-0.013171999,-0.018422813,0.007398246,0.004243287,-0.01482195,-0.015781454,-0.01086801,-0.005048511,-0.003455665,4.81E-05,-0.005460483,0.003259773,-0.003029113,0.000499466,-0.000422313,-0.000832943
ss_2016_03_lateral.JPG,Sicyopterus stimpsoni,hakalau,inching,Free,0.009897351,-0.023588533,0.024874474,-0.000561307,-0.020238724,0.015205201,0.009474253,0.011604468,-0.009964715,0.017675743,-0.00104331,0.000137567,-0.003336595,0.008753405,-0.004276205,0.003479531,0.004783059,-0.003491523,0.00040095,-0.000850494
ss_2016_04_lateral.JPG,Sicyopterus stimpsoni,hakalau,inching,Free,0.006619454,0.015181313,-0.012657087,0.009451507,-0.038875678,-0.007435535,-0.008333245,-0.003552947,0.007129147,0.00637249,0.002085109,-0.000198075,0.009143532,0.005064321,0.003372297,0.002158924,0.000346855,-0.001213883,0.003377509,-0.000853525
ss_2017_08_lateral.JPG,Sicyopterus stimpsoni,nanue1,inching,Consistent,0.004564949,-0.013513393,-0.009635267,-0.02729475,-0.0179248,-0.031554018,-0.020040543,1.27E-05,-0.01214491,0.003445958,-0.009271682,-0.01030018,0.011364921,-0.00810027,0.003869058,-0.000217302,0.000900581,0.000172727,0.000895839,4.12E-05
sh_2016_02_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.107688117,-0.048787431,0.004314708,0.006320972,0.022319508,-0.005778595,0.003989477,0.010207981,0.002757885,0.000970531,-0.005673142,-0.010594808,-0.002997148,0.004255449,-0.005818775,-0.00120147,-0.002796694,-0.000576279,0.000225667,0.002516877
sh_2016_12_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.040677478,0.00571891,-0.016263278,0.01223006,-0.025424726,-0.008112275,-0.002215885,-0.004888331,0.006787723,-0.005711344,-0.017589119,0.014622091,0.0026067,0.0040924,-0.003185993,-0.005330681,0.0033118,0.002324762,-0.002653026,0.000269683
sh_2016_26_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.055955008,-0.03142172,0.010423646,-0.00211765,-0.026436865,-0.017017591,0.001159191,-0.001268662,0.012572422,-0.012249228,-0.001275509,0.011700875,-0.000982939,0.003552772,0.005258451,0.007166583,-0.000967283,-0.002330679,-0.000502569,0.000518316
sh_2016_33_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.075021234,0.021382901,-0.009993345,-0.002401737,-0.001026414,0.024612607,-0.003774346,0.003516205,-0.003684264,-0.005479797,-0.005438847,0.002745508,0.001742885,-0.010155123,-0.005561567,0.002641372,0.001484038,8.04E-05,0.001051142,-0.000567362
sh_2016_36_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.091730772,-0.039352623,-0.016680392,-0.021791964,-0.012789427,0.015319186,-0.004565135,-0.015187172,-0.002344611,0.004528988,-0.002235086,0.00140374,0.000361183,0.00535858,0.002477801,0.002155614,-0.001528611,0.008302785,-0.00023454,-3.36E-05
sh_2016_13_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.076457949,-0.042583364,-0.003272219,0.010688868,-0.018734468,0.008277828,0.000254094,-0.002644623,-0.000156236,0.004150755,0.000481351,0.000161905,0.001457762,0.002003171,0.003073905,-0.002076291,-0.002624733,-0.004129246,-0.000813588,-0.002395734
sh_2016_14_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.097930694,-0.004432668,0.010822345,0.012077271,-0.009546794,0.011765071,0.010792946,-0.010234534,0.004443847,-0.00665262,0.014283003,-0.012268469,0.005138405,-0.003063173,0.006857477,0.001667894,0.00133639,0.001797203,0.002062864,-7.48E-05
sh_2016_17_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.119264049,-0.012926434,-0.008792237,0.026510257,0.013889233,0.001563096,-0.004397627,0.006366974,-0.000404112,-0.00486435,-6.62E-05,0.001676098,0.001810675,-0.001919736,-0.001806145,-0.006388159,0.001195569,-0.000706517,-0.002448109,-0.000197946
sh_2016_18_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.086296662,0.004471144,0.023508445,-0.020874426,0.017603969,0.014538952,0.006921331,-0.000668872,-0.005770639,-0.00511833,-0.003310637,0.000538602,0.003184317,-0.000154374,-0.005542867,0.002736333,0.004737165,-0.000381796,0.003027208,-0.000379842
sh_2016_20_lateral.JPG,Stenogobius hawaiiensis,waikea,none,Consistent,-0.099096567,-0.014746063,0.01022955,0.004890115,0.016398945,-0.004311173,0.013852114,-0.006042522,-0.012750543,0.001188102,0.005776346,0.001282172,0.004467278,0.000177249,0.001228914,-0.004772737,-0.000634565,-0.00284195,-0.000241017,0.000456819
